,epoch,train_loss,val_loss
0,1,7344.065318107605,0.0
1,2,6048.218818664551,0.0
2,3,5901.313073158264,0.0
3,4,5705.719666481018,0.0
4,5,4499.866847038269,0.0
5,6,3772.832172393799,0.0
6,7,3734.7073702812195,0.0
7,8,3709.3052229881287,0.0
8,9,3712.357551574707,0.0
9,10,3699.6322565078735,589.0650911331177
10,11,3709.579852104187,0.0
